resume,score
"Experienced in sql, flask, machine learning, python, teamwork, communication, pandas.",1.0
"Experienced in sql, communication, excel, teamwork, machine learning.",0.25
"Experienced in python, django, tensorflow, pandas.",0.5
"Experienced in sql, flask, machine learning, excel, teamwork, tensorflow, communication.",0.5
"Experienced in communication, flask, tensorflow.",0.25
"Experienced in machine learning, flask, django, sql, excel, python, teamwork.",0.75
"Experienced in teamwork, excel, django, tensorflow.",0.0
"Experienced in python, flask, tensorflow, django, pandas, sql.",0.75
"Experienced in sql, teamwork, machine learning, pandas.",0.5
"Experienced in django, machine learning, pandas, tensorflow, communication, python, excel.",0.75
"Experienced in communication, python, sql, tensorflow, teamwork, django.",0.25
"Experienced in python, sql, tensorflow, machine learning, excel.",0.5
"Experienced in pandas, excel, django, flask.",0.5
"Experienced in pandas, teamwork, tensorflow, python, django.",0.5
"Experienced in tensorflow, pandas, python, flask, django, teamwork.",0.75
"Experienced in communication, tensorflow, pandas, flask, teamwork, django, machine learning.",0.75
"Experienced in machine learning, communication, teamwork.",0.25
"Experienced in flask, excel, pandas, django, communication, tensorflow, sql.",0.5
"Experienced in pandas, python, django, teamwork.",0.5
"Experienced in sql, excel, teamwork, pandas, machine learning.",0.5
"Experienced in teamwork, excel, django, communication, pandas.",0.25
"Experienced in excel, machine learning, sql, django.",0.25
"Experienced in django, teamwork, pandas, tensorflow.",0.25
"Experienced in tensorflow, python, machine learning, excel, teamwork.",0.5
"Experienced in excel, machine learning, pandas, django, python.",0.75
"Experienced in flask, python, teamwork, pandas, tensorflow, django, machine learning.",1.0
"Experienced in flask, excel, pandas, sql, machine learning.",0.75
"Experienced in python, sql, flask.",0.5
"Experienced in teamwork, excel, machine learning, sql.",0.25
"Experienced in django, flask, python, pandas, teamwork, excel, machine learning.",1.0
"Experienced in sql, python, teamwork, communication, pandas.",0.5
"Experienced in python, pandas, excel, tensorflow.",0.5
"Experienced in communication, teamwork, machine learning, python, flask, django.",0.75
"Experienced in excel, pandas, tensorflow, teamwork, django.",0.25
"Experienced in communication, teamwork, excel, python, pandas, flask, tensorflow.",0.75
"Experienced in flask, communication, sql.",0.25
"Experienced in excel, flask, teamwork, machine learning.",0.5
"Experienced in machine learning, teamwork, python, communication, excel, pandas, sql.",0.75
"Experienced in excel, sql, pandas, communication, teamwork.",0.25
"Experienced in pandas, communication, flask, python, machine learning, excel, django.",1.0
"Experienced in flask, django, tensorflow, pandas.",0.5
"Experienced in machine learning, tensorflow, teamwork, excel.",0.25
"Experienced in pandas, python, sql.",0.5
"Experienced in tensorflow, python, django.",0.25
"Experienced in tensorflow, sql, django, excel, teamwork.",0.0
"Experienced in excel, pandas, tensorflow.",0.25
"Experienced in django, python, machine learning, communication, sql, flask, pandas.",1.0
"Experienced in python, machine learning, teamwork, flask, pandas, tensorflow.",1.0
"Experienced in machine learning, python, django, communication, teamwork, sql.",0.5
"Experienced in excel, flask, django, sql, pandas.",0.5
"Experienced in excel, sql, python, communication, tensorflow.",0.25
"Experienced in excel, machine learning, django.",0.25
"Experienced in tensorflow, teamwork, python, excel, sql, django, communication.",0.25
"Experienced in tensorflow, teamwork, django, sql, flask, python, machine learning.",0.75
"Experienced in pandas, python, django, sql, machine learning, tensorflow, communication.",0.75
"Experienced in tensorflow, excel, teamwork, machine learning.",0.25
"Experienced in excel, flask, tensorflow, communication, sql, machine learning, pandas.",0.75
"Experienced in tensorflow, excel, teamwork.",0.0
"Experienced in sql, flask, tensorflow, communication.",0.25
"Experienced in pandas, excel, sql, flask.",0.5
"Experienced in python, django, sql, teamwork.",0.25
"Experienced in teamwork, tensorflow, django, communication, pandas.",0.25
"Experienced in python, machine learning, django, teamwork, communication, excel, tensorflow.",0.5
"Experienced in django, machine learning, flask, sql, excel, pandas.",0.75
"Experienced in django, sql, flask, machine learning, pandas, teamwork.",0.75
"Experienced in excel, pandas, tensorflow, python, django, communication.",0.5
"Experienced in pandas, python, excel, communication.",0.5
"Experienced in tensorflow, sql, teamwork.",0.0
"Experienced in pandas, python, tensorflow.",0.5
"Experienced in excel, python, pandas, teamwork, flask.",0.75
"Experienced in communication, sql, python, teamwork, django.",0.25
"Experienced in pandas, django, communication.",0.25
"Experienced in pandas, communication, teamwork.",0.25
"Experienced in python, machine learning, django.",0.5
"Experienced in flask, teamwork, pandas.",0.5
"Experienced in excel, teamwork, django, communication, machine learning.",0.25
"Experienced in pandas, django, python, excel, sql, flask.",0.75
"Experienced in sql, communication, excel, pandas, teamwork, machine learning.",0.5
"Experienced in django, python, pandas, machine learning, excel.",0.75
"Experienced in excel, teamwork, pandas, flask, tensorflow, python.",0.75
"Experienced in machine learning, sql, tensorflow, python.",0.5
"Experienced in pandas, python, flask, sql, tensorflow, django.",0.75
"Experienced in pandas, teamwork, communication, excel, sql, flask, django.",0.5
"Experienced in tensorflow, python, flask, machine learning, django.",0.75
"Experienced in flask, excel, python, sql, teamwork.",0.5
"Experienced in excel, teamwork, python, communication.",0.25
"Experienced in python, pandas, tensorflow, sql, machine learning, communication.",0.75
"Experienced in tensorflow, excel, teamwork, flask, python, sql, django.",0.5
"Experienced in machine learning, flask, communication, python.",0.75
"Experienced in teamwork, django, pandas, tensorflow.",0.25
"Experienced in excel, python, django, pandas, communication.",0.5
"Experienced in excel, flask, tensorflow, python, pandas, sql.",0.75
"Experienced in flask, teamwork, communication, machine learning, tensorflow, excel.",0.5
"Experienced in django, python, machine learning, sql, pandas, flask, excel.",1.0
"Experienced in sql, flask, tensorflow, machine learning, python, communication, django.",0.75
"Experienced in python, tensorflow, django, teamwork, pandas, flask.",0.75
"Experienced in machine learning, django, communication.",0.25
"Experienced in machine learning, flask, pandas.",0.75
"Experienced in pandas, python, flask, django, sql.",0.75
"Experienced in teamwork, flask, machine learning, python.",0.75
"Experienced in excel, machine learning, communication, flask, pandas, tensorflow, python.",1.0
"Experienced in pandas, sql, flask, django, excel, teamwork, communication.",0.5
"Experienced in pandas, excel, sql, tensorflow, machine learning, django.",0.5
"Experienced in tensorflow, flask, communication, python, excel, teamwork, pandas.",0.75
"Experienced in excel, django, python.",0.25
"Experienced in tensorflow, sql, communication, pandas, python, machine learning, django.",0.75
"Experienced in excel, python, communication, machine learning, sql, pandas.",0.75
"Experienced in django, communication, pandas, python, machine learning, flask.",1.0
"Experienced in excel, sql, machine learning, flask, tensorflow.",0.5
"Experienced in flask, sql, tensorflow, teamwork.",0.25
"Experienced in teamwork, machine learning, excel, django, sql, python, communication.",0.5
"Experienced in communication, tensorflow, python, django, pandas, teamwork, machine learning.",0.75
"Experienced in machine learning, django, sql, flask, pandas.",0.75
"Experienced in python, machine learning, django.",0.5
"Experienced in excel, machine learning, teamwork, django, communication, python.",0.5
"Experienced in pandas, communication, teamwork.",0.25
"Experienced in pandas, machine learning, django, flask, teamwork, excel.",0.75
"Experienced in teamwork, sql, tensorflow.",0.0
"Experienced in tensorflow, flask, excel, sql, django, machine learning, pandas.",0.75
"Experienced in sql, python, django, communication, flask.",0.5
"Experienced in teamwork, communication, machine learning.",0.25
"Experienced in excel, flask, machine learning, django, python, pandas.",1.0
"Experienced in sql, machine learning, pandas.",0.5
"Experienced in excel, machine learning, sql, django.",0.25
"Experienced in excel, communication, sql.",0.0
"Experienced in tensorflow, teamwork, excel.",0.0
"Experienced in machine learning, django, tensorflow, teamwork, excel, flask.",0.5
"Experienced in django, sql, tensorflow, teamwork, flask.",0.25
"Experienced in machine learning, communication, tensorflow, excel, teamwork, pandas, django.",0.5
"Experienced in machine learning, tensorflow, pandas, django, communication.",0.5
"Experienced in sql, tensorflow, django, excel, python, communication.",0.25
"Experienced in flask, communication, excel, pandas, teamwork, machine learning, django.",0.75
"Experienced in python, tensorflow, pandas.",0.5
"Experienced in flask, pandas, python, communication.",0.75
"Experienced in python, django, machine learning, pandas, flask, teamwork, excel.",1.0
"Experienced in tensorflow, excel, pandas, machine learning, communication, python.",0.75
"Experienced in machine learning, python, communication, excel.",0.5
"Experienced in python, flask, machine learning, communication, tensorflow.",0.75
"Experienced in flask, tensorflow, communication, teamwork, excel, pandas.",0.5
"Experienced in tensorflow, pandas, sql, machine learning, django, communication, excel.",0.5
"Experienced in pandas, tensorflow, teamwork, python, machine learning, sql.",0.75
"Experienced in flask, sql, machine learning, python, teamwork.",0.75
"Experienced in python, communication, sql.",0.25
"Experienced in python, excel, machine learning, flask, pandas, sql, teamwork.",1.0
"Experienced in python, teamwork, sql.",0.25
"Experienced in django, pandas, excel, flask.",0.5
"Experienced in machine learning, pandas, excel, django, teamwork, flask, python.",1.0
"Experienced in pandas, communication, flask, excel, python.",0.75
"Experienced in excel, communication, flask, teamwork, tensorflow, sql, django.",0.25
"Experienced in communication, excel, sql, tensorflow, flask, python.",0.5
"Experienced in machine learning, tensorflow, python.",0.5
"Experienced in communication, pandas, excel.",0.25
"Experienced in python, teamwork, flask, sql, tensorflow.",0.5
"Experienced in teamwork, sql, flask, machine learning, tensorflow, pandas, communication.",0.75
"Experienced in tensorflow, sql, pandas, django, teamwork, flask, communication.",0.5
"Experienced in machine learning, tensorflow, flask, teamwork, pandas, python, excel.",1.0
"Experienced in tensorflow, machine learning, flask, excel, teamwork.",0.5
"Experienced in excel, pandas, python, django, tensorflow, sql.",0.5
"Experienced in communication, pandas, sql, flask, machine learning, excel.",0.75
"Experienced in python, excel, pandas, django, teamwork, communication.",0.5
"Experienced in machine learning, teamwork, python, flask.",0.75
"Experienced in pandas, flask, django.",0.5
"Experienced in excel, pandas, django, python.",0.5
"Experienced in python, pandas, django, excel, sql.",0.5
"Experienced in teamwork, python, tensorflow, sql, machine learning, pandas.",0.75
"Experienced in sql, machine learning, teamwork, pandas, django, python.",0.75
"Experienced in communication, python, excel.",0.25
"Experienced in django, excel, teamwork, machine learning, pandas, tensorflow.",0.5
"Experienced in teamwork, communication, machine learning, django, pandas.",0.5
"Experienced in django, tensorflow, excel.",0.0
"Experienced in sql, python, pandas, communication, django.",0.5
"Experienced in teamwork, tensorflow, django, communication.",0.0
"Experienced in django, communication, pandas, machine learning, teamwork, excel.",0.5
"Experienced in python, excel, flask, pandas, tensorflow.",0.75
"Experienced in django, teamwork, sql, machine learning, communication, python, pandas.",0.75
"Experienced in flask, communication, sql, tensorflow.",0.25
"Experienced in communication, pandas, machine learning.",0.5
"Experienced in tensorflow, machine learning, excel, sql, communication.",0.25
"Experienced in django, python, excel, machine learning, tensorflow, flask, sql.",0.75
"Experienced in machine learning, excel, teamwork, pandas, communication, sql, django.",0.5
"Experienced in flask, teamwork, tensorflow.",0.25
"Experienced in machine learning, tensorflow, excel, pandas, python, django.",0.75
"Experienced in django, tensorflow, flask, excel, teamwork, communication.",0.25
"Experienced in django, pandas, python, machine learning, sql.",0.75
"Experienced in excel, machine learning, sql, django, tensorflow.",0.25
"Experienced in flask, django, teamwork, machine learning, tensorflow, sql, communication.",0.5
"Experienced in flask, communication, sql, pandas, tensorflow.",0.5
"Experienced in django, tensorflow, pandas, flask, sql, machine learning.",0.75
"Experienced in communication, excel, python, django, teamwork, pandas, tensorflow.",0.5
"Experienced in communication, tensorflow, sql, flask, python.",0.5
"Experienced in excel, machine learning, pandas, sql.",0.5
"Experienced in pandas, machine learning, excel, django, teamwork.",0.5
"Experienced in sql, machine learning, communication.",0.25
"Experienced in flask, communication, python, sql, pandas.",0.75
"Experienced in django, teamwork, machine learning, pandas, communication, sql.",0.5
"Experienced in pandas, flask, sql, machine learning, communication, python.",1.0
"Experienced in teamwork, python, communication, machine learning, excel, flask.",0.75
"Experienced in teamwork, pandas, machine learning, excel, django, communication.",0.5
"Experienced in tensorflow, python, excel.",0.25
"Experienced in flask, django, communication, excel, tensorflow, machine learning, teamwork.",0.5
"Experienced in communication, python, teamwork, sql, pandas, flask, tensorflow.",0.75
"Experienced in excel, flask, python, communication.",0.5
"Experienced in communication, python, sql, excel, flask.",0.5
"Experienced in tensorflow, python, excel.",0.25
"Experienced in tensorflow, excel, communication, django, pandas.",0.25
"Experienced in sql, pandas, excel, flask, machine learning, tensorflow.",0.75
"Experienced in tensorflow, communication, pandas, teamwork.",0.25
"Experienced in pandas, sql, machine learning, excel, communication, django.",0.5
"Experienced in sql, flask, python.",0.5
"Experienced in teamwork, django, pandas, python.",0.5
"Experienced in python, communication, pandas, tensorflow.",0.5
"Experienced in tensorflow, python, machine learning, sql.",0.5
"Experienced in excel, machine learning, tensorflow.",0.25
"Experienced in flask, machine learning, sql.",0.5
"Experienced in flask, excel, python, machine learning, sql, communication, teamwork.",0.75
"Experienced in sql, excel, teamwork, machine learning.",0.25
"Experienced in pandas, python, django, flask, tensorflow, excel.",0.75
"Experienced in flask, pandas, communication, django, sql, python.",0.75
"Experienced in machine learning, pandas, tensorflow.",0.5
"Experienced in sql, tensorflow, python, flask, machine learning.",0.75
"Experienced in tensorflow, communication, flask.",0.25
"Experienced in flask, django, teamwork.",0.25
"Experienced in flask, communication, teamwork, pandas.",0.5
"Experienced in excel, sql, python, tensorflow, django.",0.25
"Experienced in excel, teamwork, pandas, sql.",0.25
"Experienced in sql, teamwork, machine learning, pandas, tensorflow, django, python.",0.75
"Experienced in machine learning, pandas, excel, flask, django, tensorflow.",0.75
"Experienced in teamwork, flask, pandas.",0.5
"Experienced in communication, django, machine learning, teamwork, python, sql, pandas.",0.75
"Experienced in python, tensorflow, teamwork, sql, django, flask.",0.5
"Experienced in machine learning, communication, sql.",0.25
"Experienced in pandas, flask, django, tensorflow, teamwork, python, sql.",0.75
"Experienced in excel, teamwork, python.",0.25
"Experienced in excel, flask, python.",0.5
"Experienced in flask, django, excel, python.",0.5
"Experienced in teamwork, sql, flask.",0.25
"Experienced in communication, machine learning, pandas, excel, tensorflow.",0.5
"Experienced in flask, communication, pandas, teamwork, tensorflow, sql, django.",0.5
"Experienced in python, machine learning, excel, communication, django.",0.5
"Experienced in python, teamwork, excel, sql, tensorflow.",0.25
"Experienced in flask, pandas, communication.",0.5
"Experienced in django, machine learning, teamwork.",0.25
"Experienced in excel, tensorflow, machine learning.",0.25
"Experienced in python, machine learning, flask, teamwork, sql, excel.",0.75
"Experienced in sql, communication, django, python.",0.25
"Experienced in sql, tensorflow, flask, machine learning, python, django, communication.",0.75
"Experienced in teamwork, sql, communication, excel.",0.0
"Experienced in django, python, communication, machine learning, sql.",0.5
"Experienced in teamwork, tensorflow, pandas, excel, django.",0.25
"Experienced in tensorflow, teamwork, flask, sql, machine learning, communication, django.",0.5
"Experienced in excel, communication, pandas, django, sql, python.",0.5
"Experienced in python, excel, teamwork.",0.25
"Experienced in teamwork, sql, machine learning, django.",0.25
"Experienced in pandas, django, machine learning, communication.",0.5
"Experienced in pandas, machine learning, tensorflow, excel, flask, sql, python.",1.0
"Experienced in machine learning, pandas, teamwork, python, flask.",1.0
"Experienced in python, communication, excel, machine learning, pandas, flask.",1.0
"Experienced in python, django, machine learning, teamwork, excel, tensorflow, pandas.",0.75
"Experienced in teamwork, machine learning, sql, pandas, flask, communication.",0.75
"Experienced in flask, teamwork, pandas.",0.5
"Experienced in flask, python, teamwork, machine learning, communication, tensorflow.",0.75
"Experienced in excel, tensorflow, python, pandas, communication, sql, flask.",0.75
"Experienced in excel, tensorflow, pandas, django.",0.25
"Experienced in excel, tensorflow, flask, machine learning, sql, communication, teamwork.",0.5
"Experienced in flask, excel, python, machine learning, pandas.",1.0
"Experienced in machine learning, teamwork, tensorflow.",0.25
"Experienced in django, flask, sql, tensorflow.",0.25
"Experienced in python, excel, flask.",0.5
"Experienced in sql, pandas, communication, machine learning, tensorflow.",0.5
"Experienced in communication, machine learning, python, excel, tensorflow, flask, django.",0.75
"Experienced in communication, sql, excel, machine learning.",0.25
"Experienced in django, python, tensorflow, machine learning.",0.5
"Experienced in django, communication, flask, excel.",0.25
"Experienced in teamwork, communication, sql.",0.0
"Experienced in python, sql, teamwork, excel, flask, communication, django.",0.5
"Experienced in excel, teamwork, pandas, python, communication.",0.5
"Experienced in django, flask, python.",0.5
"Experienced in communication, django, machine learning.",0.25
"Experienced in python, django, machine learning, teamwork, sql.",0.5
"Experienced in django, flask, machine learning.",0.5
"Experienced in django, pandas, machine learning.",0.5
"Experienced in pandas, sql, flask, machine learning, django, teamwork, excel.",0.75
"Experienced in pandas, sql, django, flask, excel, tensorflow, teamwork.",0.5
"Experienced in python, flask, excel.",0.5
"Experienced in sql, python, communication.",0.25
"Experienced in flask, excel, sql, tensorflow, machine learning, django, communication.",0.5
"Experienced in django, excel, flask, python, machine learning, sql.",0.75
"Experienced in pandas, python, communication, excel.",0.5
"Experienced in sql, python, communication.",0.25
"Experienced in python, communication, django, sql, flask, teamwork.",0.5
"Experienced in excel, django, tensorflow.",0.0
"Experienced in sql, python, machine learning, teamwork.",0.5
"Experienced in tensorflow, django, communication, excel, sql.",0.0
"Experienced in sql, python, teamwork, machine learning, excel, django, communication.",0.5
"Experienced in python, django, communication.",0.25
"Experienced in sql, django, pandas, excel.",0.25
"Experienced in tensorflow, excel, sql.",0.0
"Experienced in teamwork, tensorflow, sql, flask, communication, python.",0.5
"Experienced in django, pandas, teamwork.",0.25
"Experienced in pandas, flask, communication, excel, sql.",0.5
"Experienced in tensorflow, python, pandas, sql, machine learning, communication.",0.75
"Experienced in python, django, tensorflow.",0.25
"Experienced in teamwork, communication, django, python, machine learning, tensorflow.",0.5
"Experienced in communication, python, excel, flask, tensorflow, teamwork.",0.5
"Experienced in communication, sql, excel, flask, teamwork, machine learning, tensorflow.",0.5
"Experienced in python, excel, flask, communication, tensorflow, machine learning, teamwork.",0.75
"Experienced in sql, django, tensorflow, machine learning, python, excel, flask.",0.75
"Experienced in teamwork, django, flask, machine learning.",0.5
"Experienced in flask, machine learning, excel, tensorflow, communication.",0.5
"Experienced in python, django, pandas, machine learning, sql.",0.75
"Experienced in python, tensorflow, excel, communication.",0.25
"Experienced in tensorflow, teamwork, excel, sql, communication, django.",0.0
"Experienced in teamwork, machine learning, sql, communication.",0.25
"Experienced in tensorflow, flask, teamwork.",0.25
"Experienced in sql, django, pandas, tensorflow, flask, python.",0.75
"Experienced in communication, machine learning, sql, pandas.",0.5
"Experienced in sql, excel, tensorflow.",0.0
"Experienced in flask, pandas, python, sql, machine learning, teamwork, communication.",1.0
"Experienced in excel, tensorflow, python, teamwork, communication, flask, django.",0.5
"Experienced in sql, python, machine learning, teamwork.",0.5
"Experienced in tensorflow, teamwork, communication.",0.0
"Experienced in django, tensorflow, pandas.",0.25
"Experienced in communication, sql, python, tensorflow, pandas.",0.5
"Experienced in teamwork, tensorflow, excel, communication, machine learning, pandas, python.",0.75
"Experienced in excel, django, machine learning, python.",0.5
"Experienced in python, machine learning, communication, sql.",0.5
"Experienced in excel, machine learning, communication, django.",0.25
"Experienced in teamwork, tensorflow, excel.",0.0
"Experienced in python, sql, tensorflow.",0.25
"Experienced in sql, django, machine learning, pandas, flask.",0.75
"Experienced in machine learning, python, pandas, tensorflow, flask.",1.0
"Experienced in teamwork, flask, django.",0.25
"Experienced in machine learning, tensorflow, pandas.",0.5
"Experienced in sql, excel, tensorflow, flask, machine learning.",0.5
"Experienced in django, excel, pandas.",0.25
"Experienced in flask, communication, django, excel, python, pandas, teamwork.",0.75
"Experienced in tensorflow, communication, teamwork, sql, django, pandas.",0.25
"Experienced in pandas, teamwork, tensorflow.",0.25
"Experienced in python, communication, excel, machine learning, django.",0.5
"Experienced in python, django, teamwork.",0.25
"Experienced in flask, python, django, sql, pandas.",0.75
"Experienced in pandas, teamwork, django, flask, sql, excel.",0.5
"Experienced in tensorflow, python, flask, django.",0.5
"Experienced in python, excel, flask.",0.5
"Experienced in sql, teamwork, excel, tensorflow.",0.0
"Experienced in sql, flask, python, tensorflow.",0.5
"Experienced in sql, tensorflow, pandas, flask, teamwork, communication.",0.5
"Experienced in teamwork, excel, django, python, communication.",0.25
"Experienced in communication, flask, excel, pandas, teamwork, python, tensorflow.",0.75
"Experienced in tensorflow, excel, teamwork, pandas.",0.25
"Experienced in communication, teamwork, django, python, flask.",0.5
"Experienced in tensorflow, django, excel, machine learning, communication, teamwork.",0.25
"Experienced in tensorflow, django, machine learning, python, flask, teamwork, excel.",0.75
"Experienced in machine learning, django, excel, communication, teamwork, sql, tensorflow.",0.25
"Experienced in sql, teamwork, flask.",0.25
"Experienced in machine learning, sql, communication, excel, flask, django, python.",0.75
"Experienced in sql, teamwork, django, tensorflow, machine learning.",0.25
"Experienced in sql, machine learning, flask.",0.5
"Experienced in django, tensorflow, teamwork, excel, machine learning, sql.",0.25
"Experienced in flask, excel, sql, teamwork, communication, django, python.",0.5
"Experienced in machine learning, excel, communication, sql, pandas, teamwork.",0.5
"Experienced in communication, python, sql.",0.25
"Experienced in django, tensorflow, teamwork, excel, machine learning, pandas.",0.5
"Experienced in sql, python, machine learning, django.",0.5
"Experienced in pandas, teamwork, communication, machine learning.",0.5
"Experienced in sql, machine learning, tensorflow, communication, teamwork, excel, pandas.",0.5
"Experienced in django, machine learning, flask, pandas.",0.75
"Experienced in teamwork, flask, python, pandas, communication, django, tensorflow.",0.75
"Experienced in flask, excel, communication, machine learning.",0.5
"Experienced in python, sql, machine learning, excel, teamwork.",0.5
"Experienced in communication, sql, flask, excel, machine learning.",0.5
"Experienced in communication, sql, tensorflow, pandas, excel, machine learning, django.",0.5
"Experienced in tensorflow, machine learning, teamwork.",0.25
"Experienced in pandas, sql, machine learning.",0.5
"Experienced in machine learning, django, communication, tensorflow, pandas.",0.5
"Experienced in excel, pandas, communication, teamwork, tensorflow.",0.25
"Experienced in flask, sql, django, python, teamwork, excel, communication.",0.5
"Experienced in tensorflow, python, flask, sql, teamwork.",0.5
"Experienced in flask, python, pandas, communication, machine learning, sql.",1.0
"Experienced in flask, tensorflow, communication.",0.25
"Experienced in machine learning, flask, python, sql, excel, tensorflow, pandas.",1.0
"Experienced in sql, teamwork, machine learning, pandas, flask, django, excel.",0.75
"Experienced in machine learning, excel, sql, python, tensorflow, communication.",0.5
"Experienced in excel, django, machine learning, communication, teamwork, pandas, python.",0.75
"Experienced in flask, tensorflow, django, communication, sql, excel, pandas.",0.5
"Experienced in machine learning, communication, tensorflow, excel, django, sql, flask.",0.5
"Experienced in tensorflow, communication, machine learning, django.",0.25
"Experienced in sql, flask, communication, pandas.",0.5
"Experienced in sql, tensorflow, pandas, communication, machine learning, django, flask.",0.75
"Experienced in pandas, django, sql, python, flask, teamwork, excel.",0.75
"Experienced in flask, pandas, excel, teamwork, python, tensorflow, sql.",0.75
"Experienced in flask, django, teamwork, pandas.",0.5
"Experienced in machine learning, teamwork, communication.",0.25
"Experienced in machine learning, django, flask, teamwork, pandas, excel.",0.75
"Experienced in teamwork, excel, communication, django, pandas.",0.25
"Experienced in teamwork, python, tensorflow.",0.25
"Experienced in pandas, sql, python, tensorflow.",0.5
"Experienced in communication, python, teamwork.",0.25
"Experienced in tensorflow, django, teamwork.",0.0
"Experienced in teamwork, tensorflow, pandas, sql, python.",0.5
"Experienced in flask, pandas, tensorflow, machine learning, teamwork, excel, python.",1.0
"Experienced in excel, machine learning, teamwork.",0.25
"Experienced in sql, communication, excel, flask.",0.25
"Experienced in communication, excel, tensorflow, machine learning, teamwork, sql, python.",0.5
"Experienced in tensorflow, excel, machine learning, teamwork.",0.25
"Experienced in excel, communication, django, pandas, machine learning, python.",0.75
"Experienced in communication, sql, python, excel, machine learning, teamwork.",0.5
"Experienced in sql, excel, python.",0.25
"Experienced in excel, pandas, teamwork.",0.25
"Experienced in excel, communication, machine learning, django.",0.25
"Experienced in machine learning, sql, django.",0.25
"Experienced in excel, communication, sql, flask, teamwork, machine learning.",0.5
"Experienced in communication, flask, tensorflow, pandas, excel, python, teamwork.",0.75
"Experienced in flask, pandas, machine learning, sql.",0.75
"Experienced in teamwork, excel, pandas, flask, machine learning, tensorflow.",0.75
"Experienced in flask, sql, pandas, tensorflow, django.",0.5
"Experienced in excel, communication, python, flask, pandas, teamwork, tensorflow.",0.75
"Experienced in python, sql, flask, teamwork.",0.5
"Experienced in excel, python, flask, teamwork, machine learning.",0.75
"Experienced in python, pandas, excel.",0.5
"Experienced in excel, flask, tensorflow.",0.25
"Experienced in teamwork, communication, excel.",0.0
"Experienced in python, communication, tensorflow, django, machine learning, sql.",0.5
"Experienced in tensorflow, communication, sql, pandas, django, python.",0.5
"Experienced in tensorflow, sql, machine learning, django, communication, flask.",0.5
"Experienced in communication, python, machine learning, pandas, teamwork, flask.",1.0
"Experienced in flask, tensorflow, teamwork, sql.",0.25
"Experienced in machine learning, communication, python, tensorflow, pandas, sql, excel.",0.75
"Experienced in communication, django, tensorflow.",0.0
"Experienced in sql, flask, pandas, communication, machine learning.",0.75
"Experienced in sql, django, teamwork, communication, flask, python, machine learning.",0.75
"Experienced in python, excel, sql, machine learning, flask, pandas.",1.0
"Experienced in tensorflow, excel, communication, flask, machine learning, django, python.",0.75
"Experienced in teamwork, python, sql, django, machine learning, flask.",0.75
"Experienced in sql, machine learning, communication.",0.25
"Experienced in teamwork, flask, django, machine learning.",0.5
"Experienced in excel, communication, django, pandas, teamwork.",0.25
"Experienced in django, excel, communication, pandas.",0.25
"Experienced in teamwork, flask, django, sql, python, excel.",0.5
"Experienced in django, sql, communication, pandas, python.",0.5
"Experienced in communication, tensorflow, teamwork, excel, python, django, pandas.",0.5
"Experienced in python, pandas, django, machine learning, communication, sql.",0.75
"Experienced in teamwork, sql, excel, python.",0.25
"Experienced in excel, django, flask, machine learning, communication, tensorflow, sql.",0.5
"Experienced in flask, tensorflow, django, pandas, sql.",0.5
"Experienced in communication, excel, django.",0.0
"Experienced in teamwork, communication, excel, pandas, sql.",0.25
"Experienced in tensorflow, machine learning, excel, django.",0.25
"Experienced in python, machine learning, sql, flask.",0.75
"Experienced in excel, machine learning, sql, django, pandas, communication.",0.5
"Experienced in python, communication, excel, tensorflow, machine learning, flask, sql.",0.75
"Experienced in python, sql, django, machine learning, excel, teamwork.",0.5
"Experienced in django, teamwork, sql, machine learning, pandas, python.",0.75
"Experienced in pandas, python, flask, django, sql.",0.75
"Experienced in teamwork, python, tensorflow, flask.",0.5
"Experienced in teamwork, sql, communication, excel.",0.0
"Experienced in django, sql, machine learning, pandas, flask, excel, teamwork.",0.75
"Experienced in teamwork, communication, machine learning.",0.25
"Experienced in teamwork, communication, excel.",0.0
"Experienced in flask, python, communication, excel, sql.",0.5
"Experienced in flask, django, teamwork, sql, machine learning.",0.5
"Experienced in flask, python, pandas, tensorflow, teamwork, sql, communication.",0.75
"Experienced in excel, tensorflow, django.",0.0
"Experienced in excel, pandas, tensorflow, sql, communication, flask.",0.5
"Experienced in teamwork, tensorflow, communication, django, sql, python, machine learning.",0.5
"Experienced in pandas, flask, teamwork, django, sql, tensorflow, python.",0.75
"Experienced in machine learning, excel, tensorflow, django.",0.25
"Experienced in pandas, machine learning, excel, communication, teamwork, sql, python.",0.75
"Experienced in django, teamwork, tensorflow.",0.0
"Experienced in sql, django, tensorflow, communication, flask.",0.25
"Experienced in django, python, pandas, machine learning.",0.75
"Experienced in communication, machine learning, excel, django.",0.25
"Experienced in django, sql, pandas, excel, python, machine learning, tensorflow.",0.75
"Experienced in sql, communication, machine learning, python.",0.5
"Experienced in excel, machine learning, pandas, tensorflow, django, sql, flask.",0.75
"Experienced in tensorflow, python, machine learning, teamwork.",0.5
"Experienced in excel, tensorflow, python, machine learning, sql, pandas.",0.75
"Experienced in teamwork, pandas, django, communication, excel.",0.25
"Experienced in tensorflow, python, machine learning, communication, excel.",0.5
"Experienced in tensorflow, sql, python, flask, pandas, communication, excel.",0.75
"Experienced in teamwork, django, python, tensorflow, sql.",0.25
"Experienced in machine learning, django, pandas, sql, teamwork, flask.",0.75
"Experienced in excel, machine learning, pandas, django, tensorflow, sql.",0.5
